customer_id,first_name,last_name,email,phone,birth_date,address,risk_tier,created_at,updated_at
d70bbb7d-d186-4a8d-ac91-aeaef39ef24c,Kelly,Petty,amoon@example.net,540-652-0816,1976-07-29,"855 Christopher Mountains Apt. 215
West Jesse, WA 72081",MEDIUM,2020-05-20,2026-03-03
f8b38547-c8e0-4a1f-b9f8-5a2ff56ec4f4,Angelica,Giles,aprilrivera@example.com,(954)783-3485,2004-11-02,"77443 Harrison Road
Jorgeborough, NV 47809",LOW,2026-05-18,2026-01-11
5ec59d34-3437-4263-8cb5-59624615235f,Gina,Murray,xbeasley@example.net,001-667-936-5185x6501,1989-12-17,"35305 Denise Dale
Jenniferport, VI 19695",LOW,2025-03-04,2026-05-14
b3ad2c4f-07c4-4e90-9f14-87fae3a7ba0d,Edward,Sandoval,brandi33@example.org,6015571860,1994-04-04,"9842 Flores Field Apt. 945
Mooreport, KY 27045",LOW,2024-08-19,2026-03-28
d6a77eaa-f9eb-44e9-927d-9e5ed04d634f,Andrew,Shaffer,nsanders@example.net,416.574.2636x73904,1991-01-03,"1718 Jennings Circles
South Louisstad, IN 78175",LOW,2022-06-09,2026-02-01
34f8453c-4ac2-420c-9849-e71531ca6784,Bradley,Clayton,kathrynjohnson@example.com,5155073390,1996-07-22,"99523 Alexandra Point Apt. 640
North Caseyburgh, NJ 55748",LOW,2022-04-14,2026-03-09
bea1d5a8-da6b-4489-85f6-103f8399cf26,Jason,Holloway,roblesmichelle@example.com,807.962.7678,1977-11-26,"9758 Francisco Springs Suite 964
North Kimberlymouth, FM 38207",LOW,2022-07-22,2026-05-25
fdb4c7e5-67ee-44f5-86f2-35ebb9e2e3f6,Matthew,Kelly,bethmcintosh@example.net,718-677-9569,2008-04-17,"15139 Burton Pines Suite 297
East Scottside, AK 62510",LOW,2022-03-21,2026-04-13
49eb1642-90b7-4bc9-b6fb-6c1a2bbcb1bd,Raymond,Allen,jeffreyhernandez@example.com,001-472-889-4455x6307,1961-08-20,"996 Daniel Light Suite 817
Port Melissa, AS 30228",LOW,2020-05-18,2026-03-01
74e83a1f-aa0c-4b8f-9034-da3d886a1015,Michael,Wagner,tamiboyd@example.net,001-364-248-9450x1819,1980-07-27,"4817 Roberts Lock Apt. 575
North Michaelview, NY 12168",LOW,2020-09-11,2026-05-30
1130d9dc-8027-4ad1-a936-7014f2bcf9b4,Ashley,Baker,peggy31@example.org,(281)801-0684,1966-08-24,"Unit 5853 Box 2433
DPO AE 12650",LOW,2022-10-19,2026-04-25
eb37a4bf-fb4f-4c8b-ba80-0e84bed487a8,Heidi,Ross,victorfigueroa@example.com,+1-862-465-1371x25428,1980-10-02,"2977 Dixon Haven Suite 441
West John, IL 21566",LOW,2021-02-12,2026-01-12
f703ca9a-14e3-403c-8d5d-05449cdba47e,Alyssa,Cohen,andersonann@example.net,001-972-410-1538,1973-02-09,"690 Elizabeth Squares Suite 883
Wilsonberg, GA 47464",LOW,2023-01-01,2026-02-06
